medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code_x,discipline_code_x,event,country_x,discipline_x,subdiscipline,name,short_name,gender,birth_date,birth_place,birth_country,country_y,country_code_y,discipline_y,discipline_code_y,residence_place,residence_country,height_m/ft,url,age
Bronze,3,2021-08-06 00:00:00.0,SOFUOGLU A,SOFUOGLU Ali,M,../../../en/results/karate/athlete-profile-n1325308-sofuoglu-ali.htm,TUR,KTE,Men's Kata,Turkey,Karate,Kata,SOFUOGLU Ali,SOFUOGLU A,Male,1995-06-03,,,Turkey,TUR,Karate,KTE,ISTANBUL,Turkey,,../../../en/results/karate/athlete-profile-n1325308-sofuoglu-ali.htm,26
Bronze,3,2021-08-06 00:00:00.0,TORRES GUTIERREZ A,TORRES GUTIERREZ Ariel,M,../../../en/results/karate/athlete-profile-n1320161-torres-gutierrez-ariel.htm,USA,KTE,Men's Kata,United States of America,Karate,Kata,TORRES GUTIERREZ Ariel,TORRES GUTIERREZ A,Male,1997-11-06,,Cuba,United States of America,USA,Karate,KTE,"HIALEAH, FL",United States of America,,../../../en/results/karate/athlete-profile-n1320161-torres-gutierrez-ariel.htm,23
Gold,1,2021-08-06 00:00:00.0,BUSA L,BUSA Luigi,M,../../../en/results/karate/athlete-profile-n1337871-busa-luigi.htm,ITA,KTE,Men's Kumite -75kg,Italy,Karate,Kumite,BUSA Luigi,BUSA L,Male,1987-10-09,AVOLA,Italy,Italy,ITA,Karate,KTE,ROME,Italy,,../../../en/results/karate/athlete-profile-n1337871-busa-luigi.htm,33
Silver,2,2021-08-06 00:00:00.0,AGHAYEV R,AGHAYEV Rafael,M,../../../en/results/karate/athlete-profile-n1439675-aghayev-rafael.htm,AZE,KTE,Men's Kumite -75kg,Azerbaijan,Karate,Kumite,AGHAYEV Rafael,AGHAYEV R,Male,1985-03-04,SUMQAYIT,Azerbaijan,Azerbaijan,AZE,Karate,KTE,AZERBAIJAN,,,../../../en/results/karate/athlete-profile-n1439675-aghayev-rafael.htm,36
Bronze,3,2021-08-06 00:00:00.0,HARSPATAKI KG,HARSPATAKI Karoly Gabor,M,../../../en/results/karate/athlete-profile-n1327826-harspataki-karoly-gabor.htm,HUN,KTE,Men's Kumite -75kg,Hungary,Karate,Kumite,HARSPATAKI Karoly Gabor,HARSPATAKI KG,Male,1996-02-27,,,Hungary,HUN,Karate,KTE,BUDAPEST,Hungary,,../../../en/results/karate/athlete-profile-n1327826-harspataki-karoly-gabor.htm,25
Bronze,3,2021-08-06 00:00:00.0,HORUNA S,HORUNA Stanislav,M,../../../en/results/karate/athlete-profile-n1317051-horuna-stanislav.htm,UKR,KTE,Men's Kumite -75kg,Ukraine,Karate,Kumite,HORUNA Stanislav,HORUNA S,Male,1989-03-01,LVIV,Ukraine,Ukraine,UKR,Karate,KTE,LVIV,Ukraine,,../../../en/results/karate/athlete-profile-n1317051-horuna-stanislav.htm,32
Gold,1,2021-08-06 00:00:00.0,PREKOVIC J,PREKOVIC Jovana,W,../../../en/results/karate/athlete-profile-n1342123-prekovic-jovana.htm,SRB,KTE,Women's Kumite -61kg,Serbia,Karate,Kumite,PREKOVIC Jovana,PREKOVIC J,Female,1996-01-20,,Switzerland,Serbia,SRB,Karate,KTE,ARANDELOVAC,Serbia,,../../../en/results/karate/athlete-profile-n1342123-prekovic-jovana.htm,25
Silver,2,2021-08-06 00:00:00.0,YIN X,YIN Xiaoyan,W,../../../en/results/karate/athlete-profile-n1309465-yin-xiaoyan.htm,CHN,KTE,Women's Kumite -61kg,China,Karate,Kumite,YIN Xiaoyan,YIN X,Female,1993-08-28,HENAN,People's Republic of China,People's Republic of China,CHN,Karate,KTE,BEIJING,People's Republic of China,,../../../en/results/karate/athlete-profile-n1309465-yin-xiaoyan.htm,27
Bronze,3,2021-08-06 00:00:00.0,LOTFY G,LOTFY Giana,W,../../../en/results/karate/athlete-profile-n1306451-lotfy-giana.htm,EGY,KTE,Women's Kumite -61kg,Egypt,Karate,Kumite,LOTFY Giana,LOTFY G,Female,1994-12-10,,,Egypt,EGY,Karate,KTE,CAIRO,Egypt,,../../../en/results/karate/athlete-profile-n1306451-lotfy-giana.htm,26
Bronze,3,2021-08-06 00:00:00.0,COBAN M,COBAN Merve,W,../../../en/results/karate/athlete-profile-n1325252-coban-merve.htm,TUR,KTE,Women's Kumite -61kg,Turkey,Karate,Kumite,COBAN Merve,COBAN M,Female,1993-01-25,,,Turkey,TUR,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1325252-coban-merve.htm,28
Gold,1,2021-08-07 00:00:00.0,GANJZADEH S,GANJZADEH Sajad,M,../../../en/results/karate/athlete-profile-n1284739-ganjzadeh-sajad.htm,IRI,KTE,Men's Kumite +75kg,Iran,Karate,Kumite,GANJZADEH Sajad,GANJZADEH S,Male,1992-01-04,TEHRAN,Islamic Republic of Iran,Islamic Republic of Iran,IRI,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1284739-ganjzadeh-sajad.htm,29
Silver,2,2021-08-07 00:00:00.0,HAMEDI T,HAMEDI Tareg,M,../../../en/results/karate/athlete-profile-n1483645-hamedi-tareg.htm,KSA,KTE,Men's Kumite +75kg,Saudi Arabia,Karate,Kumite,HAMEDI Tareg,HAMEDI T,Male,1998-07-26,,,Saudi Arabia,KSA,Karate,KTE,JUBAIL,Saudi Arabia,,../../../en/results/karate/athlete-profile-n1483645-hamedi-tareg.htm,23
Bronze,3,2021-08-07 00:00:00.0,ARAGA R,ARAGA Ryutaro,M,../../../en/results/karate/athlete-profile-n1315375-araga-ryutaro.htm,JPN,KTE,Men's Kumite +75kg,Japan,Karate,Kumite,ARAGA Ryutaro,ARAGA R,Male,1990-10-16,KAMEOKA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315375-araga-ryutaro.htm,30
Bronze,3,2021-08-07 00:00:00.0,AKTAS U,AKTAS Ugur,M,../../../en/results/karate/athlete-profile-n1325285-aktas-ugur.htm,TUR,KTE,Men's Kumite +75kg,Turkey,Karate,Kumite,AKTAS Ugur,AKTAS U,Male,1995-10-10,,,Turkey,TUR,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1325285-aktas-ugur.htm,25
Gold,1,2021-08-07 00:00:00.0,ABDELAZIZ F,ABDELAZIZ Feryal,W,../../../en/results/karate/athlete-profile-n1306348-abdelaziz-feryal.htm,EGY,KTE,Women's Kumite +61kg,Egypt,Karate,Kumite,ABDELAZIZ Feryal,ABDELAZIZ F,Female,1999-02-16,,,Egypt,EGY,Karate,KTE,CAIRO,Egypt,,../../../en/results/karate/athlete-profile-n1306348-abdelaziz-feryal.htm,22
Silver,2,2021-08-07 00:00:00.0,ZARETSKA I,ZARETSKA Iryna,W,../../../en/results/karate/athlete-profile-n1439654-zaretska-iryna.htm,AZE,KTE,Women's Kumite +61kg,Azerbaijan,Karate,Kumite,ZARETSKA Iryna,ZARETSKA I,Female,1996-03-04,ODESSA,Ukraine,Azerbaijan,AZE,Karate,KTE,ODESSA,Ukraine,,../../../en/results/karate/athlete-profile-n1439654-zaretska-iryna.htm,25
Bronze,3,2021-08-07 00:00:00.0,GONG L,GONG Li,W,../../../en/results/karate/athlete-profile-n1309456-gong-li.htm,CHN,KTE,Women's Kumite +61kg,China,Karate,Kumite,GONG Li,GONG L,Female,1999-08-16,,,People's Republic of China,CHN,Karate,KTE,BEIJING,People's Republic of China,,../../../en/results/karate/athlete-profile-n1309456-gong-li.htm,21
Bronze,3,2021-08-07 00:00:00.0,BERULTSEVA S,BERULTSEVA Sofya,W,../../../en/results/karate/athlete-profile-n1304797-berultseva-sofya.htm,KAZ,KTE,Women's Kumite +61kg,Kazakhstan,Karate,Kumite,BERULTSEVA Sofya,BERULTSEVA S,Female,2000-11-06,SHYMKENT,Kazakhstan,Kazakhstan,KAZ,Karate,KTE,SHYMKENT,Kazakhstan,,../../../en/results/karate/athlete-profile-n1304797-berultseva-sofya.htm,20
