name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
GONG Li,GONG L,Female,1999-08-16,,,People's Republic of China,CHN,Karate,KTE,BEIJING,People's Republic of China,,../../../en/results/karate/athlete-profile-n1309456-gong-li.htm
GORANOVA Ivet,GORANOVA I,Female,2000-03-06,,,Bulgaria,BUL,Karate,KTE,PLEVEN,Bulgaria,,../../../en/results/karate/athlete-profile-n1328509-goranova-ivet.htm
GRANDE RISCO Alexandra Vanessa,GRANDE RISCO AV,Female,1990-02-05,LIMA,Peru,Peru,PER,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1308211-grande-risco-alexandra-vanessa.htm
HAMEDI Tareg,HAMEDI T,Male,1998-07-26,,,Saudi Arabia,KSA,Karate,KTE,JUBAIL,Saudi Arabia,,../../../en/results/karate/athlete-profile-n1483645-hamedi-tareg.htm
HARSPATAKI Karoly Gabor,HARSPATAKI KG,Male,1996-02-27,,,Hungary,HUN,Karate,KTE,BUDAPEST,Hungary,,../../../en/results/karate/athlete-profile-n1327826-harspataki-karoly-gabor.htm
HEURTAULT Leila,HEURTAULT L,Female,1995-01-04,CHARTRES,France,France,FRA,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1310942-heurtault-leila.htm
HOCAOGLU AKYOL Meltem,HOCAOGLU AKYOL M,Female,1992-01-15,,,Turkey,TUR,Karate,KTE,ISTANBUL,Turkey,,../../../en/results/karate/athlete-profile-n1325255-hocaoglu-akyol-meltem.htm
HORNE Jonathan,HORNE J,Male,1989-01-17,KAISERSLAUTERN,Germany,Germany,GER,Karate,KTE,KAISERSLAUTERN,Germany,,../../../en/results/karate/athlete-profile-n1317060-horne-jonathan.htm
HORUNA Stanislav,HORUNA S,Male,1989-03-01,LVIV,Ukraine,Ukraine,UKR,Karate,KTE,LVIV,Ukraine,,../../../en/results/karate/athlete-profile-n1317051-horuna-stanislav.htm
IRR Brian,IRR B,Male,1988-07-17,"AMHERST, NY",United States of America,United States of America,USA,Karate,KTE,"PLANO, TX",United States of America,,../../../en/results/karate/athlete-profile-n1320165-irr-brian.htm
JOVANOSKA Puliksenija,JOVANOSKA P,Female,1993-07-11,,,North Macedonia,MKD,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1428379-jovanoska-puliksenija.htm
JUETTNER Jasmin,JUETTNER J,Female,1993-05-22,,,Germany,GER,Karate,KTE,WIESBADEN,Germany,,../../../en/results/karate/athlete-profile-n1317058-juettner-jasmin.htm
KALNINS Kalvis,KALNINS K,Male,1991-02-16,,,Latvia,LAT,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1466974-kalnins-kalvis.htm
KIYUNA Ryo,KIYUNA R,Male,1990-07-12,OKINAWA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315377-kiyuna-ryo.htm
KOKUMAI Sakura,KOKUMAI S,Female,1992-10-02,"HONOLULU, HI",United States of America,United States of America,USA,Karate,KTE,"LOS ANGELES, CA",United States of America,,../../../en/results/karate/athlete-profile-n1320193-kokumai-sakura.htm
KVESIC Ivan,KVESIC I,Male,1996-10-13,SIROKI BRIJEG,Bosnia and Herzegovina,Croatia,CRO,Karate,KTE,ZAGREB,Croatia,,../../../en/results/karate/athlete-profile-n1449453-kvesic-ivan.htm
LAU Mo Sheung Grace,LAU MSG,Female,1991-10-19,,,"Hong Kong, China",HKG,Karate,KTE,HONG KONG,People's Republic of China,,../../../en/results/karate/athlete-profile-n1399347-lau-mo-sheung-grace.htm
LOTFY Giana,LOTFY G,Female,1994-12-10,,,Egypt,EGY,Karate,KTE,CAIRO,Egypt,,../../../en/results/karate/athlete-profile-n1306451-lotfy-giana.htm
MADERA DELGADO Andres Eduardo,MADERA DELGADO AE,Male,1988-06-06,,,Venezuela,VEN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1294022-madera-delgado-andres-eduardo.htm
MATOUB Lamya,MATOUB L,Female,1992-01-18,PARIS,France,Algeria,ALG,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1378765-matoub-lamya.htm
MIYAHARA Miho,MIYAHARA M,Female,1996-09-03,FUKUOKA,Japan,Japan,JPN,Karate,KTE,TOKYO,Japan,,../../../en/results/karate/athlete-profile-n1315379-miyahara-miho.htm
NISHIMURA Ken,NISHIMURA K,Male,1995-12-31,FUKUOKA,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1315373-nishimura-ken.htm
OZCELIK ARAPOGLU Serap,OZCELIK ARAPOGLU S,Female,1988-02-18,,,Turkey,TUR,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1325248-ozcelik-arapoglu-serap.htm
PARK Heejun,PARK H,Male,1994-03-29,SEOUL,Republic of Korea,Republic of Korea,KOR,Karate,KTE,REPUBLIC OF KOREA,,,../../../en/results/karate/athlete-profile-n1335915-park-heejun.htm
PLANK Bettina,PLANK B,Female,1992-02-24,,,Austria,AUT,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1334480-plank-bettina.htm
PREKOVIC Jovana,PREKOVIC J,Female,1996-01-20,,Switzerland,Serbia,SRB,Karate,KTE,ARANDELOVAC,Serbia,,../../../en/results/karate/athlete-profile-n1342123-prekovic-jovana.htm
QUINTERO Damian,QUINTERO D,Male,1984-07-04,BUENOS AIRES,Argentina,Spain,ESP,Karate,KTE,MADRID,Spain,,../../../en/results/karate/athlete-profile-n1337337-quintero-damian.htm
QUIRICI Elena,QUIRICI E,Female,1994-02-16,,Switzerland,Switzerland,SUI,Karate,KTE,SCHINZNACH BAD,Switzerland,,../../../en/results/karate/athlete-profile-n1466059-quirici-elena.htm
SADINI Btissam,SADINI B,Female,1998-02-09,,,Morocco,MAR,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1296099-sadini-btissam.htm
SAGO Naoto,SAGO N,Male,1992-06-19,TOKYO,Japan,Japan,JPN,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1461642-sago-naoto.htm
SAMDAN Eray,SAMDAN E,Male,1997-07-25,KOCAELI,Turkey,Turkey,TUR,Karate,KTE,DARICA,Turkey,,../../../en/results/karate/athlete-profile-n1325280-samdan-eray.htm
SANCHEZ JAIME Sandra,SANCHEZ JAIME S,Female,1981-09-16,,,Spain,ESP,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1337340-sanchez-jaime-sandra.htm
SAYED Radwa,SAYED R,Female,1997-05-30,,,Egypt,EGY,Karate,KTE,,,,../../../en/results/karate/athlete-profile-n1306424-sayed-radwa.htm
SCOTT Thomas,SCOTT T,Male,1990-01-09,"RICHARDSON, TX",United States of America,United States of America,USA,Karate,KTE,"PLANO, TX",United States of America,,../../../en/results/karate/athlete-profile-n1320204-scott-thomas.htm
